review,sentiment,cluster,theme
Ronaldo 🇵🇹 🥇,positive,0,Positive App Experience
"this app is absolutely fantastic I love it and I enjoying to it ,let us support this foundation together .",positive,0,Positive App Experience
"The CBE app has been highly unreliable in recent weeks. It frequently fails to work properly on both Ethio Telecom and Safaricom networks, whether using Wi-Fi or mobile data. This week, the system was down entirely for extended periods, making it very difficult to access banking services. The app only functions intermittently, and the lack of consistency is frustrating. I hope the issues are addressed soon, and that any non-technical influences are removed from such essential services.",negative,0,Positive App Experience
mortuary app,neutral,2,Convenience & Excellence
it is smart app but it has stoped after some period of time on my device with out any reason .,positive,0,Positive App Experience
amazing app I am used this app for one year,positive,2,Convenience & Excellence
good app,positive,2,Convenience & Excellence
i love it 😍😘,positive,0,Positive App Experience
It makes life easy!👌,positive,0,Positive App Experience
its not fast,neutral,0,Positive App Experience
wow,positive,0,Positive App Experience
it is sooo good,positive,2,Convenience & Excellence
excellent,positive,0,Positive App Experience
Fantastic,positive,0,Positive App Experience
accessible to using,neutral,0,Positive App Experience
I like it,positive,0,Positive App Experience
why you change default network?,neutral,0,Positive App Experience
very nice 👍,positive,0,Positive App Experience
nice fast app,positive,0,Positive App Experience
how to I get my money,neutral,0,Positive App Experience
"Very bad, can't even load they need to improve their services.",negative,0,Positive App Experience
"Very good app, but please make it reliable . it crashes sometimes .",positive,2,Convenience & Excellence
very busy I don't know why... I prefer 889,neutral,0,Positive App Experience
"Sometimes it has a nasty lag for several hour fix that , the rest is 👌",neutral,0,Positive App Experience
the most boring Mobil banking application in ethiopia.Please use alternative private banks mobile banking apps,negative,1,Developer & Application Praise
hojii bonsaadha,neutral,0,Positive App Experience
user-friendly apps.because this app is easy.,positive,0,Positive App Experience
Awosome!!!,neutral,0,Positive App Experience
"Very good app,",positive,2,Convenience & Excellence
sync problem may 22 2025 but the date stack on may 8 2025 help pls,positive,0,Positive App Experience
ይህ መተግበሪያ በጣም ጥሩ ነው. this app is very nice,positive,0,Positive App Experience
I hate this app 😒,negative,2,Convenience & Excellence
trustful,positive,0,Positive App Experience
I like,positive,0,Positive App Experience
update issue,neutral,0,Positive App Experience
its not working over safari network,neutral,0,Positive App Experience
oldie,neutral,0,Positive App Experience
it doesn't work,neutral,0,Positive App Experience
"This app is good, and we are using it well",positive,2,Convenience & Excellence
very nice 👌 app for android phone,positive,2,Convenience & Excellence
Yes Yes,positive,0,Positive App Experience
በጣም ከርፋፋ,neutral,0,Positive App Experience
easy to use helpful in my life,positive,0,Positive App Experience
good 👍,positive,2,Convenience & Excellence
the best mobile banking app,positive,2,Convenience & Excellence
"this app is very useful app,it saves time,and it is secure",positive,2,Convenience & Excellence
it's a good application 👍,positive,1,Developer & Application Praise
the screenshot and the reffresh options are so annoying that makes transaction so delaying activity !,negative,0,Positive App Experience
poor service,negative,0,Positive App Experience
amazing,positive,0,Positive App Experience
it is reliable and easy to use.,positive,0,Positive App Experience
the most annoying mobile banking app I've ever seen,negative,0,Positive App Experience
Cbe mobile banking,neutral,3,Customer Satisfaction & Gratitude
"i can't make Screenshout in this app, please made modification",positive,2,Convenience & Excellence
Best app I loved it,positive,2,Convenience & Excellence
nice app,positive,2,Convenience & Excellence
Amazing applicatiom sometimes doesnt work!,positive,0,Positive App Experience
well satisfied with this beautiful app,positive,2,Convenience & Excellence
very good,positive,2,Convenience & Excellence
best app.,positive,2,Convenience & Excellence
"not working,why???",neutral,0,Positive App Experience
Great impact but why Developer option turnoff if you fix 🙏 🙏 🙏,positive,0,Positive App Experience
always disappointing ! especially the iOS one !! some similar local applications are extremely superior to this application!! Really disappointing!,negative,1,Developer & Application Praise
woxe harimo ribiso,neutral,0,Positive App Experience
"Good ,easy to use",positive,2,Convenience & Excellence
Good app,positive,2,Convenience & Excellence
Good job👍,positive,2,Convenience & Excellence
"Please kindly ask to update the app and allow us to screenshot, it's convenient and efficient as long as you add security to the access there is no reason to block us from screenshooting our screen.",positive,0,Positive App Experience
I have using the CBE mobile banking app. and overall i appreciate its Feuteres However i.ve Notticed that when i turn on the Developer options on my divice the App.Stop Functioning prorerly It.Would Be Great If You could look into This issue as l often need to access Developer setting for Otter Application ThankYou For Your attention to This Matter,positive,1,Developer & Application Praise
customer service is bad nothing is good about this bank,negative,0,Positive App Experience
It is Amazing Mobile Banking App....But why the screenshot of the receipt doesnt work,positive,0,Positive App Experience
fast and simple easy to use 👌,positive,0,Positive App Experience
The fastest transferring app I ever had its so reliable,neutral,0,Positive App Experience
"Funds transferred from the same bank do not reflect in the account, even though a confirmation text message was received.",neutral,0,Positive App Experience
it's easy and fast,positive,0,Positive App Experience
This app don't have self activation only you have to look near cbe branch that's disgusting,negative,3,Customer Satisfaction & Gratitude
hello dearest CBE office personnel make some benefits for those using interest free accounts thanks for your help,positive,3,Customer Satisfaction & Gratitude
wow best application ever,positive,1,Developer & Application Praise
"Am sorry but what does developer mode do to the application ? hack it ? are you sure you are developer or are you stupid, doesnt makes sense,",negative,1,Developer & Application Praise
the pride of Ethiopian bank 🏦,positive,0,Positive App Experience
why the app telling me to turn of developer options please fix it.,positive,0,Positive App Experience
i am very happy . i have small prob. after i transfer i cant put the transfer cashe bil to my dic.,positive,0,Positive App Experience
amazing apps,positive,0,Positive App Experience
All service of Mobile Banking,neutral,0,Positive App Experience
needs improvement,positive,0,Positive App Experience
i miss the old one i couldn't send my mony to other bank..,negative,0,Positive App Experience
the app is recently crushing each time you open and try to make transfers...it used to be good. take lessons from the Dashen Super app or ethiotelecom. it is not befitting of your experience and glory. inv3st in making it more friendly and convenient. I am considering leaving CBE for good.,positive,2,Convenience & Excellence
good but these week not oky,positive,2,Convenience & Excellence
well designed! Fixing bugs & two step verification with biometric... simply it's great!,positive,0,Positive App Experience
If any developer is reading this please fix the screenshot functionality or at least the download button should work flawlessly without me touching it twenty times.,positive,0,Positive App Experience
"it's a great job.but one more thing, it hasn't been placed for transfer to other banks on face like mobile charge card place",positive,0,Positive App Experience
CBE mobilr bankg,neutral,3,Customer Satisfaction & Gratitude
verygood,neutral,0,Positive App Experience
ممتاز جدا,neutral,0,Positive App Experience
it's very low quality application,negative,1,Developer & Application Praise
Very Amazing Apps,positive,0,Positive App Experience
wow simple life,positive,0,Positive App Experience
it's nice,positive,0,Positive App Experience
Why stacked sometimes,neutral,0,Positive App Experience
okay 👍 but sometimes busy,positive,0,Positive App Experience
the worst commercial company that fails to do even the most normal things again and and again.,negative,0,Positive App Experience
Very good app. but disappointed by general cessation of system.,negative,2,Convenience & Excellence
Good and fast,positive,2,Convenience & Excellence
Unreliable!,neutral,0,Positive App Experience
Best the best fast,positive,0,Positive App Experience
happy,positive,0,Positive App Experience
fast and reliable,neutral,0,Positive App Experience
network errorrrrrr,neutral,0,Positive App Experience
Best app but there is some problem I can't send money to telebirr or mpesa so if you can add that it could be use full,negative,0,Positive App Experience
its good and simple to use,positive,2,Convenience & Excellence
worest app like that bank for security and network access,positive,0,Positive App Experience
it's the best app i,positive,2,Convenience & Excellence
not bad not good,positive,2,Convenience & Excellence
its very nice,positive,0,Positive App Experience
do not work this week,neutral,0,Positive App Experience
It crashes frequently,neutral,0,Positive App Experience
the best,positive,0,Positive App Experience
"I can simply describe this app as ""Making all your work easier"".",positive,0,Positive App Experience
goid,neutral,0,Positive App Experience
best appearance,positive,0,Positive App Experience
it's very good 👍 app,positive,2,Convenience & Excellence
I need support you,positive,0,Positive App Experience
the worst Mobile banking i have ever seen in my life,negative,0,Positive App Experience
super,positive,0,Positive App Experience
ጠጀጨገጀ።ጀገ,neutral,0,Positive App Experience
i like the app,positive,2,Convenience & Excellence
the Best,positive,0,Positive App Experience
to other bank is bad,negative,0,Positive App Experience
tank's,neutral,0,Positive App Experience
its good but add more features such like. bank statement showing,positive,0,Positive App Experience
it is so nice,positive,0,Positive App Experience
Very Good👍,positive,2,Convenience & Excellence
"my first frequent experience of cbe app is critical-time failure such as suspending payment on air for 2-5 days with zero explanation, deducting from sender account without depositing to the receiver act. Another fatal error by the banking company as a whole (not the app itself though) is forced-banking with corporations without consent of employers-users of the corresponding corporations",negative,0,Positive App Experience
"wow, amazing app",positive,0,Positive App Experience
use ful,neutral,0,Positive App Experience
Great app,positive,2,Convenience & Excellence
well app,positive,2,Convenience & Excellence
Actually it is inactive,neutral,0,Positive App Experience
"slow, only one account is used",neutral,0,Positive App Experience
always CBE is the leading Commercial Bank💪💪💪,neutral,3,Customer Satisfaction & Gratitude
i like it,positive,0,Positive App Experience
why removing screenshot feature why?,neutral,0,Positive App Experience
nice apps where network is good in connection,positive,0,Positive App Experience
Thank you!!!,positive,0,Positive App Experience
i can't take screenshot,neutral,0,Positive App Experience
"every update was made the system better and better until the March 19th, 2025 update, not allowing us to screenshot. you guys didn't understand how much it's a really quick and significant thing. You add extra steps to us, which makes the process draw back",positive,0,Positive App Experience
perfectly special,positive,0,Positive App Experience
Fast and Reliable,neutral,0,Positive App Experience
The best application I have ever seen in Ethiopia banking industry.,positive,1,Developer & Application Praise
great app!!!,positive,2,Convenience & Excellence
because sometimes it doesn't working it load too much,neutral,0,Positive App Experience
"Absolutely the best app! It works flawlessly, anytime and anywhere.",positive,0,Positive App Experience
very nice app ever!!!,positive,2,Convenience & Excellence
the best app,positive,2,Convenience & Excellence
Biometric security for mobile banking is not available,positive,0,Positive App Experience
great,positive,0,Positive App Experience
Nice service,positive,0,Positive App Experience
great app,positive,2,Convenience & Excellence
it's special apps,positive,0,Positive App Experience
"In the updated version of the app, it takes more time to download the receipt.",neutral,0,Positive App Experience
ለምንድነው ትራንዛክሽን ትንሽ ብቻ የሚያሳየው ?,neutral,0,Positive App Experience
Good 🔥,positive,2,Convenience & Excellence
very interesting app i am using every day fantastic,positive,0,Positive App Experience
lebaa bank,neutral,0,Positive App Experience
Can't scan/recognize other banks' Interoperable QR Codes,neutral,0,Positive App Experience
grateful app,positive,2,Convenience & Excellence
100% ❤️❤️❤️🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏,neutral,0,Positive App Experience
everthing wellbeok,neutral,0,Positive App Experience
"""This mobile banking app is fast and user-friendly, but the only issue I encountered is that I can't access my bank statement within the app. I kindly request that this feature be added, similar to what is offered by other private bank mobile banking apps.",positive,0,Positive App Experience
nice app 👌,positive,2,Convenience & Excellence
why did this app is not screenshot,neutral,0,Positive App Experience
it so good app,positive,2,Convenience & Excellence
جميل,neutral,0,Positive App Experience
"less network, specially to make fee for utility purpose",neutral,0,Positive App Experience
simply for used,neutral,0,Positive App Experience
wow keep up,positive,0,Positive App Experience
its great app but when updating we can't take screen shot please try to fix it,positive,0,Positive App Experience
good one,positive,2,Convenience & Excellence
everything is easy thank you cebe,positive,0,Positive App Experience
ፈጣን ቀልጣፋ,neutral,0,Positive App Experience
ጎበዝ,neutral,0,Positive App Experience
but this app says can't sync,neutral,0,Positive App Experience
waw,neutral,0,Positive App Experience
to slow,neutral,0,Positive App Experience
work on screen shot system,neutral,0,Positive App Experience
very very nice aplication,positive,0,Positive App Experience
wonder full and it is easy to use,positive,0,Positive App Experience
easy and reliable,positive,0,Positive App Experience
it is Very Useful app 👍,positive,2,Convenience & Excellence
perfect app,positive,0,Positive App Experience
I like it.,positive,0,Positive App Experience
bugs,neutral,0,Positive App Experience
commerial Bank,neutral,0,Positive App Experience
Genat biru,neutral,0,Positive App Experience
it is good but it doesn't allow screen shot,neutral,0,Positive App Experience
the best one,positive,0,Positive App Experience
You need to copy many things from other bank apps like Amole(Dashen),positive,0,Positive App Experience
bring back the screenshot feature.,neutral,0,Positive App Experience
Good!👍,positive,2,Convenience & Excellence
best app to experience him that to smooth transaction among the customers,positive,0,Positive App Experience
nice app suitable to use it. the only weak side is it need data connections and hoping will be fixed to offline i gave 4 rate,positive,0,Positive App Experience
easy to use,positive,0,Positive App Experience
"Good job to the CBE team on this mobile app! It's designed in a way that's simple and intuitive to navigate, which is great for everyone. It effectively handles the essential banking tasks I need to perform regularly. It's a practical and reliable tool that makes everyday banking much more convenient. Thank you for this useful application.",positive,1,Developer & Application Praise
ለኔ በጣም ምርጥ ነው ግን screenshot ማረግ ቢቻል ምርጥ ነበር,neutral,0,Positive App Experience
before it was smooth and good. this time after the new update in 2025 i can not make screenshot of my recite. even the downlod button is very delayed in putting my recite in my gallery for simple proof. please fix this i am unable to show proof of payment to my clients. thankyou.,positive,0,Positive App Experience
cool ❤,positive,0,Positive App Experience
Best app,positive,2,Convenience & Excellence
best banking App,positive,2,Convenience & Excellence
satisfied,positive,0,Positive App Experience
this app is very necessary app many people found it,neutral,2,Convenience & Excellence
cbe very active Bank I'm using CBE app very very satisfaction,positive,3,Customer Satisfaction & Gratitude
It made life alot easier. I cant even imagine having to make all those transactions in person. So this app was crucial for me. Very good app. well done.,positive,2,Convenience & Excellence
perfect,positive,0,Positive App Experience
thankyou,neutral,0,Positive App Experience
I Like it,positive,0,Positive App Experience
"I don't understand the reason, why I need to disable developer options to access the app, it has no security risks nor does it hinder the app's functionalities. This goes out to the dev, I hope your life is filled with inconveniences.",positive,0,Positive App Experience
smart app,positive,2,Convenience & Excellence
isin ga'a,neutral,0,Positive App Experience
it's great,positive,0,Positive App Experience
very good app and stars faction with work,positive,2,Convenience & Excellence
It is excelent,neutral,0,Positive App Experience
Smart,positive,0,Positive App Experience
በየወሩ አፕደት እየጠየቀኝ ነው ለነገሩ ብር ስሌለኝ ይሆናል እና ምን ለማለት ፈልገ መሰላቹ ወላህ ቼግሮኛል 🥺🥺🥺,neutral,0,Positive App Experience
very interesting app,positive,2,Convenience & Excellence
wow.......cbe.....keep it up.....!!!!!!,neutral,3,Customer Satisfaction & Gratitude
ጊዜን ቆጣቢ እና ህይወትን ቀለል ከሚያደርጉ ኢትዬጲያ ካሉ ፋይናንስ አፕልኬሽኖች ሁሉ ይሄ ይለያል,neutral,0,Positive App Experience
Excellent🙏app,positive,2,Convenience & Excellence
the most useful,positive,0,Positive App Experience
I am more satisfied in this app . More sure you have to secure.,positive,0,Positive App Experience
Easy to use,positive,0,Positive App Experience
"very good, but sometimes NUR CBE comes without my consent. even if I choose locked, it appears",neutral,3,Customer Satisfaction & Gratitude
Excellent !!!,positive,0,Positive App Experience
always we relay on,neutral,0,Positive App Experience
I'm lucky to have this🙏 thank you CBE.,positive,3,Customer Satisfaction & Gratitude
it's need more improvement like Tellbirr.,positive,0,Positive App Experience
goode app,neutral,2,Convenience & Excellence
a very nice app.👍👍👍,positive,2,Convenience & Excellence
safe easy & fast,positive,0,Positive App Experience
it's good app,positive,2,Convenience & Excellence
It is veary useful app but screen shout was impossible .solve this problem,negative,0,Positive App Experience
ጥሩ ነው,neutral,0,Positive App Experience
እጅግ በጣም ጥሩ አፕ,neutral,0,Positive App Experience
በጣም ሃሪፍ ነው ግን ብር በሚተላለፍበት ወቅት ተቀንሷል ይላል እላፊ መልክቱ ይደርሳል ግን አይቀንስም,neutral,0,Positive App Experience
suitable app,neutral,2,Convenience & Excellence
Dear cbe this app is not comparable with 21century and pls try to solve it.💀💀💀,positive,3,Customer Satisfaction & Gratitude
best transaction method of financial,positive,0,Positive App Experience
#CBE is Now going to on the right Pathway/track/!! Thank you CBE one step ahead on payment platform app!!,positive,3,Customer Satisfaction & Gratitude
It literarily don't work at all,neutral,0,Positive App Experience
good give us plus,positive,2,Convenience & Excellence
"Very good application. However, I have one functionality recommendation. What if you let the app transfer money to any telebirr account as for MPESA? By the way, I am not the only one to ask this. Thank you!",positive,1,Developer & Application Praise
before update it was able to screenshot while after update I can't able to screenshot the transfere details,neutral,0,Positive App Experience
Tnc Cbe,neutral,3,Customer Satisfaction & Gratitude
it is good app. But you have integrate cbe with cbe birr. to allow cardless withdrawal directly from our accout!,positive,3,Customer Satisfaction & Gratitude
great apps,positive,0,Positive App Experience
Excellent,positive,0,Positive App Experience
Great app!,positive,2,Convenience & Excellence
CBE,neutral,3,Customer Satisfaction & Gratitude
very good 👍 👏,positive,2,Convenience & Excellence
great when it works,positive,0,Positive App Experience
"the app is very good, but why screenshots is impossible?",positive,2,Convenience & Excellence
excellent match application,positive,1,Developer & Application Praise
The Best app😍😍😍,positive,2,Convenience & Excellence
excellent app,positive,2,Convenience & Excellence
easy to use and user friendly,positive,0,Positive App Experience
very nice,positive,0,Positive App Experience
አሪፍ ነው በተለይ የአሻራ ደህነቱ መረጋገጡ ተመችቶኛል,neutral,0,Positive App Experience
well software,positive,0,Positive App Experience
ጥሩ ነው አንዳንዴ ስታክ ቢያደርግም,neutral,0,Positive App Experience
CBE very good apps,positive,3,Customer Satisfaction & Gratitude
"This application fast, secure and more convenient. Thanks CBE",positive,1,Developer & Application Praise
excellent service,positive,0,Positive App Experience
it's best,positive,0,Positive App Experience
Why didn't you display cash transactions and bank statement in the mobile banking app?,neutral,0,Positive App Experience
Amazing app,positive,2,Convenience & Excellence
our legitimate bank,neutral,0,Positive App Experience
Ever and never seen this kind of app I proud my CBE,positive,3,Customer Satisfaction & Gratitude
very good and safe for me!,positive,2,Convenience & Excellence
it is best bank,positive,0,Positive App Experience
"very good, but sometimes....",positive,2,Convenience & Excellence
ከአንድ መስሪያ ቤት ወይም ድርጅት ወይም ግለሰብ በርከት ላለ ሰው ሲላክ የላኪውን መስሪያ ቤት ወይም ድርጅት ወይም ግለሰብ እንዲያሳይ አታደርጉም ? ግለሰብ ለግለሰብ ወይም ለድርጅት ሲከፍል ያሳያል ።,neutral,0,Positive App Experience
Why not allowed to pay for fuel?,positive,0,Positive App Experience
Really! this app is more simple to use at any time in every where also it's transaction quality between the users within the transaction receipt as abank that means this app is our bank on hand in mobile frankly I proud on this bank digital. I have no word to wrote ...... but it's have weakness on poor connection.,negative,0,Positive App Experience
ቆንጆ ነው,neutral,0,Positive App Experience
Great version,positive,0,Positive App Experience
Good and easy to use,positive,2,Convenience & Excellence
nice app and fast money transfer,positive,0,Positive App Experience
Really automated...,neutral,0,Positive App Experience
good App,positive,2,Convenience & Excellence
bek betam kelal,neutral,0,Positive App Experience
ምርጥ አፕ ነው ተመችቶኛል❤❤,positive,0,Positive App Experience
Recently app keeps closing and the notification after says this app has a bug. Can you make an update please,positive,2,Convenience & Excellence
"very good, keep it up",positive,2,Convenience & Excellence
there is some issue the process it delay,negative,0,Positive App Experience
what an amazing application in Ethiopian Banking industry which is very interested one!,positive,1,Developer & Application Praise
interesting,positive,0,Positive App Experience
simple&fast!!!,neutral,0,Positive App Experience
it is very good app,positive,2,Convenience & Excellence
It is very excellent anddynamic plus user friend all in one bank apps of the era. I loved it.,positive,0,Positive App Experience
Very God thanks,positive,0,Positive App Experience
The sum is good.,positive,2,Convenience & Excellence
best of bests,positive,0,Positive App Experience
am happy thank you CBE🫡,positive,3,Customer Satisfaction & Gratitude
it's very nice 👍.,positive,0,Positive App Experience
"The history sometimes misses transactions, tranfer to cbe birr debited but not really transferred, We need to really cop up with the world for real. The hacks and security problems, invest on and solve them.",positive,0,Positive App Experience
Very good,positive,2,Convenience & Excellence
halan garidhaa cbe,neutral,3,Customer Satisfaction & Gratitude
best apps for useing,positive,0,Positive App Experience
like it,positive,0,Positive App Experience
Good apps ...But fix the screenshot its not easy like before ......,negative,0,Positive App Experience
l love it,positive,0,Positive App Experience
"I am not exaggerating when I say that this application is one of the biggest players in the banking industry. It has simplified a lot of things for the user, even if the bank is in his pocket. But my opinion is (1), when we transfer money, there is a word limit on the (Note) at the end. Why can't we write our reason briefly? I don't understand why it is limited. On the other hand, there is no limit on the bank. Could you explain this? (2), when we pay for water, why is the code not mentioned",negative,1,Developer & Application Praise
in this update why screenshoot is disabled now it's not working,neutral,0,Positive App Experience
"realy I donot seen like this application ! fast ,safe ande confortable",positive,1,Developer & Application Praise
Excellent but needed upgrading!,positive,0,Positive App Experience
goods app!! pleace update this apps??,neutral,0,Positive App Experience
"The latest update prevents taking screenshots, which is really annoying! please allow us to take screenshots! we need it for evidence (particularly, in case of transfer failure!).",negative,0,Positive App Experience
Fantastic app! I appreciate it very much,positive,0,Positive App Experience
Convenient app,neutral,2,Convenience & Excellence
Doesn't work properly. It crashes some many times. commercial bank of Ethiopia not only the application but also sending money to own CBE birr doesn't get your money in your bank account. forcefully you must wait 3-5 days to get your money back to your account. walk up CBE the world is going to decentralized finance.,neutral,0,Positive App Experience
It crashes multiple times everytime you launch it. Fix it. Edit: crash fixed but screenshots has been disabled. I don't know who thought this was a good idea.,positive,0,Positive App Experience
why why u remove screen shoot😡😡,negative,0,Positive App Experience
"I fails mid transaction, No screenshot, download don't work, link shared not working bring back the old app this is usless",negative,0,Positive App Experience
very nice one,positive,0,Positive App Experience
good application,positive,1,Developer & Application Praise
problem solver and the best fast app,positive,0,Positive App Experience
ምርጥ አፕሊከሽን ነው ገንዘብ ለመላክም ሆነ ለማንኛውም ነገር ተመችቶኛል በዚው ቀጥሉበት,neutral,0,Positive App Experience
Please bring back the screenshot option. The screenshot download option takes like 15 second appear in gallery and most people don't know about it.,positive,0,Positive App Experience
you must added dark mode options ❗,neutral,0,Positive App Experience
Thank you,positive,0,Positive App Experience
cbe,neutral,3,Customer Satisfaction & Gratitude
ممتاز جدا جدا,neutral,0,Positive App Experience
very nice and convenient app,positive,2,Convenience & Excellence
there are to many bugs app keeps crashi ng and the update file seems to keep getting worse,negative,0,Positive App Experience
👍👍👍,neutral,0,Positive App Experience
Great experience so far but why this app ain't working while developer mode is on?,positive,0,Positive App Experience
why did the screen shot stopped ?????,negative,0,Positive App Experience
it's genuine app..,neutral,2,Convenience & Excellence
okay 👌👍,positive,0,Positive App Experience
it's a very good application but sometimes it takes a long time to synchronize,positive,1,Developer & Application Praise
commercial dank...,neutral,0,Positive App Experience
it's very good,positive,2,Convenience & Excellence
to getting money,neutral,0,Positive App Experience
some times it is difficult to get reciepts for the payment made,negative,0,Positive App Experience
this app is best,positive,2,Convenience & Excellence
it's very useful,positive,0,Positive App Experience
best app and update more features *****,positive,0,Positive App Experience
best app for this vast digital finanical word,positive,0,Positive App Experience
this app is my favorite application,positive,1,Developer & Application Praise
Hooo I love this application,positive,1,Developer & Application Praise
The app protects me from screenshot after update. Please make revision on the app.,positive,2,Convenience & Excellence
Screenshot or slip not working,neutral,0,Positive App Experience
thank you for help,positive,0,Positive App Experience
I'm sad guys what are you doing? Why did you add the screenshot restriction to the app? You just made it worse it was a great value to us. You need to rethink it. i will change the 1 star rating when you resolve the issue.,positive,0,Positive App Experience
Thise is helpfull and have good and easy for mobile money usage in ethiopia,positive,0,Positive App Experience
thank you,positive,0,Positive App Experience
good app.,positive,2,Convenience & Excellence
"Old version was very friendly to use. Now we can't see the #Reason The #transaction history (very limited) and now it crash every time it's opened. More over, the last update prevents us from taking #screenshots. Thanks for the developers as they are getting more stupid than ever.",negative,0,Positive App Experience
